Location,Code
"Decatur, IL ",DEC
"Deer Lake, NL ",YDF
"Deer Lake, ON ",YVZ
"Deering, AK ",DRG
"Deirezzor, Syria - Al Jafrah ",DEZ
"Del Reo, TX ",DRT
"Delhi, India ",DEL
"Deline, NT ",YWJ
"Delta Junction, AK ",DJN
"Dembidollo, Ethiopia ",DEM
"Denham, Australia ",DNM
"Denizli, Turkey ",DNZ
"Denpasar Bali, Indonesia ",DPS
"Denver, CO - International ",DEN
"Denver, CO - Longmont Bus service ",QWM
"Dera Ghazi, Pakistan ",DEA
"Dera Ismail Khan, Pakistan ",DSK
"Derby, Australia ",DRB
"Derim, Papua New Guinea ",DER
"Des Moines, IA ",DSM
"Dessie, Ethiopia ",DSE
"Detroit, MI - All airports ",DTT
"Detroit, MI - Metro/Wayne County ",DTW
"Devil's Lake, ND ",DVL
"Devonport, Australia ",DPO
"Dhaka, Bangledesh - Zia International ",DAC
"Dibrugarn, India ",DIB
"Dickinson, ND ",DIK
"Dien Bien Phu, Viet Nam - Gialam ",DIN
"Dijon, France ",DIJ
"Dili, Indonesia ",DIL
"Dillingham, AK ",DLG
"Dillons Bay, Vanuata ",DLY
"Dimapur, India ",DMU
"Dinard, France ",DNR
"Dipolog, Philippines ",DPL
"Dire Dawa, Ethiopia ",DIR
"Div, India ",DIU
"Diyarbakir, Turkey ",DIY
"Djanet, Algeria ",DJG
"Djerba, Tunisia ",DJE
"Djibouti, Djibouti ",JIB
"Dnepropetrovsk, Ukraine ",DNK
"Dobo, Indonesia ",DOB
"Dodge City, KS ",DDC
"Dodoima, Papua New Guinea ",DDM
"Dodoma, Tanzania ",DOD
"Doha, Qatar ",DOH
"Dominica, Dominica - Cane Field ",DCF
"Dominica, Dominica - Melville Hall ",DOM
"Donegal, Ireland ",CFN
"Donetsk, Ukraine ",DOK
"Dongola, Sudan ",DOG
"Doomadgee, Australia ",DMD
"Dortmund, Germany ",DTM
"Dothan, AL ",DHN
"Dourados, Brazil ",DOU
"Dovala, Cameroon ",DLA
"Dresden, Germany ",DRS
"Drummondville, QC - Rail service ",XDM
"Dryden, ON ",YHD
"Dubai, United Arab Emirates - Bus Station ",XNB
"Dubai, United Arab Emirates - International ",DXB
"Dubbo, Australia ",DBO
"Dublin, Ireland ",DUB
"Dubois, PA ",DUJ
"Dubrovnik, Croatia ",DBV
"Dubuque, IA ",DBQ
"Duluth, MN ",DLH
"Dumaguete, Philippines ",DGT
"Dumai, Indonesia ",DUM
"Duncan/Quam, BC ",DUQ
"Dundee, United Kingdom ",DND
"Dunedin, New Zealand ",DUD
"Dunhuang, China ",DNH
"Dunk Island, Australia ",DKI
"Durango, CO ",DRO
"Durango, Mexico ",DGO
"Durban, South Africa ",DUR
"Durham, NC ",RDU
"Durham/Raleigh, NC ",RDU
"Dushanbe, Tajikistan ",DYU
"Dusseldorf, Germany - International ",DUS
"Dusseldorf, Germany - Moenchen-Gl. ",MGL
"Dusseldorf, Germany - Rail service ",QDU
"Dutch Harbor, AK ",DUT
"Dzaoudzi, Mayotte ",DZA
"East London, South Africa ",ELS
"East Main, QC ",ZEM
"Easton, PA ",ABE
"Eau Claire, WI ",EAU
"Ebon, Marshall Islands ",EBO
"Eday, United Kingdom ",EOI
"Edinburgh, United Kingdom ",EDI
"Edmonton, AB - International ",YEG
"Edmonton, AB - Rail service ",XZL
"Edna Bay, AK ",EDA
"Edremit, Turkey ",EDO
"Edward River, Australia ",EDR
"Eek, AK ",EEK
"Egilsstadir, Iceland ",EGS
"Eindhoven, Netherlands ",EIN
"Eisenach, Germany ",EIB
"Ekaterinburg, Russia ",SVX
"Ekuk, AK ",KKU
"Ekwok, AK ",KEK
"El Bolsan, Argentina ",EHL
"El Centro, CA ",IPL
"El Dorado, AR ",ELD
"El Fasher, Sudan ",ELF
"El Maiten, Argentina ",EMX
"El Obeid, Sudan ",EBD
"El Oved, Algeria ",ELU
"El Paso, TX ",ELP
"El Portillo/Samana, Dominician Republic - El Portillo",EPS
"El Real, Panama ",ELE
"El Salvador, Chile ",ESR
"El Vigia, Venezuela ",VIG
"El Yopal, Colombia ",EYP
"Elat, Italy ",ETH
"Elazig, Turkey ",EZS
"Elba Island, Italy ",EBA
"Elcho Island, Australia ",ELC
"Eldoret, Kenya ",EDL
"Eleuthera Island, Bahamas ",ELH
"Elfin Cove, AK ",ELV
"Elim, AK ",ELI
"Elista, Russia ",ESL
"Elko, NV ",EKO
"Elmira, NY ",ELM
"Ely, MN ",LYU
"Emae, Vanuata ",EAE
"Embessa, Papua New Guinea ",EMS
"Emerald, Australia ",EMD
"Emmonak, AK ",EMK
"Emo, Papua New Guinea ",EMO
"Enarotali, Indonesia ",EWI
"Ende, Indonesia ",ENE
"Endicott, NY ",BGM
"Enewetak Island, Marshall Islands ",ENT
"Enid, OK ",WDG
"Enontekio, Finland ",ENF
"Enshi, China ",ENH
"Entebbe, Uganda ",EBB
"Enugu, Nigeria ",ENU
"Epinal, France ",EPL
"Ercan, Cyprus ",ECN
"Erfurt, Germany ",ERF
"Erie, PA ",ERI
"Erzincan, Turkey ",ERC
"Erzurum, Turkey ",ERZ
"Esbjerg, Denmark - Esbjerg Airport ",EBJ
"Esbjerg, Denmark - Rail service ",ZBB
"Escanaba, MI ",ESC
"Esmeraldas, Ecuador ",ESM
"Esperance, Australia ",EPR
"Espiritu Santo, Vanuatu ",SON
"Esquel, Argentina ",EQS
"Esquimalt, BC ",YPF
"Eugene, OR ",EUG
"Eureka, NV ",EUE
"Eureka/Arcata, CA ",ACV
"Evansville, IN ",EVV
"Eveter, United Kingdom ",EXT
"Ewer, Indonesia ",EWE
"Exmouth Gulf, Australia ",EXM
"Fagernes, Norway ",VDB
"Fair Isle, United Kingdom ",FIE
"Fairbanks, AK ",FAI
"Faisalabad, Pakistan ",LYP
"Fajard, Puerto Rico ",FAJ
"Fak Fak, Indonesia ",FKQ
"Fakarava, French Polynesia ",FAV
"Farafangana, Madagascar ",RVA
"Fargo, ND ",FAR
"Farmington, NM ",FMN
"Faro, Portugal ",FAO
"Faroe Islands, Faroe Islands ",FAE
"Fayetteville, AR - Municipal/Drake ",FYV
"Fayetteville, AR - Northwest Arkansas Regional ",XNA
"Fayetteville, NC ",FAY
"Fera Island, Solomon Islands ",FRE
"Fergana, Uzbekistan ",FEG
"Fernando De Noronha, Brazil ",FEN
"Fez, Morocco ",FEZ
"Fianarantsoa, Madagascar ",WFI
"Figari, France ",FSC
"Filton, United Kingdom ",FZO
"Finkenwerder, Germany ",XFW
"Fitzroy Crossing, Australia ",FIZ
"Flagstaff, AZ ",FLG
"Flensburg, Germany ",FLF
"Flin Flon, MB ",YFO
"Flint, MI ",FNT
"Florence, Italy - Gal Galilei ",PSA
"Florence, Italy - Peretola ",FLR
"Florence, SC ",FLO
"Florence/Muscle Shoals/Sheffield, AL ",MSL
"Florencia, Colombia ",FLA
"Flores Island, Portugal ",FLW
"Flores, Guatemala ",FRS
"Florianopolis, Brazil ",FLN
"Floro, Norway ",FRO
"Foggia, Italy ",FOG
"Fond du Lac, SK ",ZFD
"Forde, Norway ",FDE
"Formosa, Argentina ",FMA
"Fort Albany, ON ",YFA
"Fort Chipewyan, AB ",YPY
"Fort Collins/Loveland, CO - Bus service ",QWF
"Fort Collins/Loveland, CO - Municipal Airport ",FNL
"Fort Dauphin, Madagascar ",FTU
"Fort De France, Martinique ",FDF
"Fort Dodge, IA ",FOD
"Fort Frances, ON ",YAG
"Fort Good Hope, NT ",YGH
"Fort Hope, ON ",YFH
"Fort Lauderdale, FL ",FLL
"Fort Leonard Wood, MO ",TBN
"Fort Mcmurray, AB ",YMM
"Fort Myers, FL ",RSW
"Fort Nelson, BC ",YYE
"Fort Severn, ON ",YER
"Fort Simpson, NT ",YFS
"Fort Smith, AR ",FSM
"Fort Smith, NT ",YSM
"Fort St John, BC ",YXJ
"Fort Walton Beach, FL ",VPS
"Fort Wayne, IN ",FWA
"Fort Worth/Dallas, TX ",DFW
"Fortaleza, Brazil ",FOR
"Fox Harbour/St Lewis, NL ",YFX
"Franca, Brazil ",FRC
"Franceville, Gabon ",MVB
"Francistown, Botswana ",FRW
"Frankfurt, Germany - Hahn ",HHN
"Frankfurt, Germany - International ",FRA
"Franklin, PA ",FKL
"Fredericia, Denmark ",ZBJ
"Fredericton Junction, NB - Rail service ",XFC
"Fredericton, NB ",YFC
"Freeport, Bahamas ",FPO
"Freetown, Sierra Leone - Lungi Intl ",FNA
"Fresno, CA ",FAT
"Friedrichshafer, Germany ",FDH
"Fuerteventura, Spain ",FUE
"Fukue, Japan ",FUJ
"Fukuoka, Japan ",FUK
"Fukushima, Japan ",FKS
"Funafuti Atol, Tuvalu ",FUN
"Funchal, Portugal ",FNC
"Futuna Island, Vanuatu ",FTA
"Futuna Island, Wallis and Futuna Islands ",FUT
"Fuyang, China ",FUG
"Fuzhou, China ",FOC
"Gaborone, Botswana ",GBE
"Gafsa, Tunisia ",GAF
"Gagnoa, Cote D'Ivoire ",GGN
"Gainesville, FL ",GNV
"Galapagos, Ecuador ",GPS
"Gallivare, Sweden ",GEV
"Gallup, NM ",GUP
"Galway, Ireland ",GWY
"Gamba, Gabon ",GAX
"Gambela, Ethiopia ",GMB
"Gan Island, Maldives ",GAN
"Gander, NL ",YQX
"Gangneung, South Korea ",KAG
"Garachine, Panama ",GHE
"Garaina, Papua New Guinea ",GAR
"Garasa, Papua New Guinea ",GRL
"Garden City, KS ",GCK
"Garden Point, Australia ",GPN
"Garoua, Cameroon ",GOV
"Gary, IN ",GYY
"Gaspe, QC ",YGP
"Gaspe, QC - Rail service ",XDD
"Gassim, Saudi Arabia ",ELQ
"Gaua, Vanuatu ",ZGU
"Gawahati, India ",GAU
"Gaza City, Occupied Palestinian Territory ",GZA
"Gaziatep, Turkey ",GZT
"Gdansk, Poland ",GDN
"Gebe, Indonesia ",GEB
"Gelendzik, Russia ",GDZ
"Geneina, Sudan ",EGN
"General Santos, Philippines ",GES
"Geneva, Switzerland ",GVA
"Genoa, Italy ",GOA
"George Town, Bahamas ",GGT
"George, South Africa ",GRJ
"Georgetown, Guyana ",GEO
"Georgetown, ON - Rail service ",XHM
"Geraldton, Australia, ",GET
"Gerona, Spain ",GRO
"Gethsemani, QC ",ZGS
"Ghadames, Libya ",LTD
"Ghardala, Algeria ",GHA
"Ghat, Libya ",GHT
"Gibraltar, Gibraltar ",GIB
"Gilgit, Pakistan ",GIL
"Gillam, MB ",YGX
"Gillette, WY ",GCC
"Gillies Bay, BC ",YGB
"Gisborne, New Zealand ",GIS
"Gizan, Saudi Arabia ",GIZ
"Gizo, Solomon Islands ",GZO
"Gjoa Haven, NU ",YHK
"Gladewater/Kilgore, TX ",GGG
"Gladstone, Australia ",GLT
"Glasgow, MT ",GGW
"Glasgow, United Kingdom - Glasgow International ",GLA
"Glasgow, United Kingdom - Prestwick ",PIK
"Glen Innes, Australia ",GLI
"Glencoe, ON - Rail service ",XZC
"Glendive, MT ",GDV
"Goa, India ",GOI
"Goba, Ethiopia ",GOB
"Gobernador Gregores, Argentina ",GGS
"Gode/Iddidole, Ethopia ",GDE
"Gods Narrows, MB ",YGO
"Gods River, MB ",ZGI
"Goiania, Brazil ",GYN
"Gold Coast, QL, Australia ",OOL
"Golfito, Costa Rica ",GLF
"Golmud, China ",GOQ
"Golovin, AK ",GLV
"Gonalia, Papua New Guinea ",GOE
"Gondari, Ethiopia ",GDQ
"Goodnews Bay, AK ",GNU
"Goose Bay, NL ",YYR
"Gore, Ethiopia ",GOR
"Goroka, Papua New Guinea ",GKA
"Gorontalo, Indonesia ",GTO
"Gothenburg, Sweden - Landvetter ",GOT
"Gothenburg, Sweden - Saeve ",GSE
"Goulburn Island, Australia ",GBL
"Goundam, Mali ",GUD
"Gove, Australia ",GOV
"Governador Valadares, Brazil ",GVR
"Governors Harbour, Bahamas ",GHB
"Goya, CR, Argentina ",OYA
"Gozo, Malta ",GZM
"Graciosa Island, Portugal ",GRW
"Grafton, Australia ",GFN
"Granada, Spain ",GRX
"Grand Canyon, AZ - Heliport ",JGC
"Grand Canyon, AZ - National Park ",GCN
"Grand Cayman, Cayman Islands ",GCM
"Grand Forks, ND ",GFK
"Grand Island, NE ",GRI
"Grand Junction, CO ",GJT
"Grand Rapids, MI ",GRR
"Grand Rapids, MN ",GPZ
"Grand Turk Island, Turks and Caicos Islands ",GDT
"Grande Prairie, AB ",YQU
"Grayling, AK ",KGX
"Graz, Austria ",GRZ
"Great Falls, MT ",GTF
"Green Bay, WI ",GRB
"Greensboro, NC ",GSO
"Greenville, MS ",GLH
"Greenville, NC ",PGV
"Greenville/Spartanburg, SC ",GSP
"Grenada, Grenada, ",GND
"Grenoble, France ",GNB
"Griffith, Australia ",GFF
"Grimsby, ON ",XGY
"Grimsey, Iceland ",GRY
"Grise Fiord, NU ",YGZ
"Groennedal, Greenland ",JGR
"Groningen, Netherlands ",GRQ
"Groofe Eylandt, Australia ",GTE
"Groton/New London, CT ",GON
"Guadalajara, Mexico ",GDL
Guam ,GUM
"Guanaja, Honduras ",GJA
"Guanajuato, Mexico ",BJX
"Guangzhou, China ",CAN
"Guantanamo, Cuba ",GAO
"Guatemala City, Guatemala ",GUA
"Guayaquil, Ecuador ",GYE
"Guayaramerin, Bolivia ",GYA
"Guaymas, Mexico ",GYM
"Guelph, ON - Rail service ",XIA
"Guernsey, United Kingdom ",GCI
"Guerrero Negro, Mexico ",GUB
"Guilin, China ",KWL
"Guiria, Venezuela ",GUI
"Gulfport, MS ",GPT
"Gulu, Uganda ",ULU
"Gulyang, China ",KWE
"Gunnison, CO ",GUC
"Gunsan, South Korea ",KUV
"Gurayat, Saudi Arabia ",URY
"Gustavus, AK ",GST
"Gwadar, Pakistan ",GWD
"Gwalior, India ",GWL
"Gwangju, South Korea ",KWJ
"Gyandzha, Azerbaijan ",KVD
"Gyourmri, Armenia ",LWN
"HaApa, Tonga ",HPA
"Hachijo Jima, Japan ",HAC
"Hagerstown, MD ",HGR
"Hagfors, Sweden ",HFS
"Haifa, Israel ",HFA
"Haikou, China ",HAK
"Hail, Saudi Arabia ",HAS
"Hailar, China ",HLD
"Hailey, ID ",SUN
"Haines, AK ",HNS
"Haiphong, Viet Nam - Catbi ",HPH
"Hakodate, Japan ",HKD
"Halberstadt, Germany ",ZHQ
"Halifax, NS - International ",YHZ
"Halifax, NS - Rail service ",XDG
"Hall Beach, NU ",YUX
"Halls Creek, Australia ",HCQ
"Halmstad, Sweden ",HAD
"Hamburg, Germany - Fuhisbuettel ",HAM
"Hamburg, Germany - Luebeck ",LBC
"Hamilton Island, Australia ",HTI
"Hamilton, Bermuda ",BDA
"Hamilton, New Zealand ",HLZ
"Hamilton, ON ",YHM
"Hammerfest, Norway ",HFT
"Hampton, VA ",PHF
"Hana, HI - Island of Maui ",HNM
"Hanapepe, HI ",PAK
"Hancock, MI ",CMX
"Hangzhou, China ",HGH
"Hanimaadhoo, Maldives ",HAQ
"Hanoi, Viet Nam - Noibai ",HAN
"Hanover, Germany ",HAJ
"Hanover, NH ",LEB
"Hanzhang, China ",HZG
"Harare, Zimbabwe ",HRE
"Harbin, China ",HRB
"Hargeisa, Somolia ",HGA
"Harlingen, TX ",HRL
"Harrisburg, PA ",MDT
"Harrison, AR ",HRO
"Harstad-Narvik, Norway ",EVE
"Hartford, CT ",BDL
"Hassi Messaoud, Algeria ",HME
"Hasvik, Norway ",HAA
"Hat Yai, Thailand ",HDY
"Hateruma, Japan ",HTR
"Haugesund, Norway ",HAU
"Havana, Cuba ",HAV
"Havasupai, AZ ",HAE
"Havre St Pierre, QC ",YGV
"Havre, MT ",HVR
"Hay River, NT ",YHY
"Hayden, CO ",HDN
"Hayman Island, Australia ",HIS
"Hays, KS ",HYS
"Healy Lake, AK ",HKB
"Hefei, China ",HFE
"Heidelberg, Germany ",HDB
"Helena, MT ",HLN
"Helgoland, Germany ",HGL
"Helsinki, Finland ",HEL
"Hendersonville, NC ",AVL
"Heno, Myanmar ",HEH
"Heraklian, Greece ",HER
"Heringsdorf, Germany ",HDF
"Hermavan, Sweden ",HMV
"Hermosillo, Mexico ",HMO
"Herning, Denmark ",XAK
"Hervey Bay, Australia ",HVB
"Hervey, QC - Rail service ",XDU
"Hibbing/Chisholm, MN ",HIB
"Hickory, NC ",HKY
"High Level, AB ",YOJ
"High Point, NC ",GSO
"Hilo, HI - Island of Hawaii ",ITO
"Hilton Head, SC ",HHH
"Hiroshima, Japan - Hiroshima West ",HIW
"Hiroshima, Japan - International ",HIJ
"Hivaro, Papua New Guinea ",HIT
"Ho Chi Minh City, Viet Nam ",SGN
"Hobart, Australia ",HBA
"Hobbs, NM ",HBB
"Hodeidah, Yemen ",HOD
"Hoedspruit, South Africa ",HDS
"Hof, Germany ",HOQ
"Hofuf, Saudi Arabia ",HOF
"Hohhot, China ",HET
"Hokitika, New Zealand ",HKK
"Holguin, Cuba ",HOG
"Hollis, AK ",HYL
"Holman, NT ",YHI
"Holy Cross, AK ",HCR
"Homer, AK ",HOM
"Hong Kong, Hong Kong ",HKG
"Honiara, Solomon Islands ",HIR
"Honningsvag, Norway ",HVG
"Honolulu, HI - Island of Oahu ",HNL
"Hooker, Australia ",HOK
"Hoolehua, HI - Island of Molokai ",MKK
"Hoonah, AK ",HNH
"Hooper Bay, AK ",HPB
"Hopedale, NL ",YHO
Horn Island Australia ,HID
"Hornafjordur, Iceland ",HFN
"Horta, Portugal ",HOR
"Hoskins, Papua New Guinea ",HKN
"Hot Springs, AR ",HOT
"Hotan, China ",HTN
"Houeisay, Laos ",HOE
"Houn, Libya ",HUQ
"Houston, BC - Bus station ",ZHO
"Houston, TX - All airports ",HOU
"Houston, TX - Hobby ",HOU
"Houston, TX - Intercontinental ",IAH
"Huahine, French Polynesia ",HUH
"Hualien, Taiwan - Phi Bai ",HUN
"Hualtin, Thailand ",HHQ
"Huanuco, French Polynesia ",HUU
"Huargyan, China ",HYN
"Huatulco, Mexico ",HUX
"Hudiksvall, Sweden ",HUV
"Hudson Bay, SK ",YHB
"Hue, Viet Nam ",HUI
"Hughenden, Australia ",HGD
"Hughes, AK ",HUS
"Hultsfred, Sweden ",HLF
"Humberside, United Kingdom ",HUY
"Huntington, WV/Ashland, KY ",HTS
"Huntsville, AL ",HSV
"Hurghada, Egypt ",HRG
"Huron, SD ",HON
"Huslia, AK ",HSL
"Hwange Nat Park, Zimbabwe ",HWN
"Hyannis, MA ",HYA
"Hydaburg, AK ",HYG
"Hyderabad, India ",HYD
"Iasi, Romania ",IAS
"Ibague, Colombia ",IBE
"Ibiza, Spain ",IBZ
"Idaho Falls, ID ",IDA
"Igarka, Russia ",IAA
"Igiugig, AK ",IGG
"Igloolik, NU ",YGT
"Iguassu Falls, PR, Brazil ",IGU
"Iguazu, Argentina ",IGR
"Ihu, Papua New Guinea ",IHU
"Ile Des Pins, New Caledonia ",ILP
"Iles De La Madeleine, QC ",YGR
"Ilford, MB ",ILF
"Ilheus, Brazil ",IOS
"Iliamna, AK ",ILI
"Illaga, Indonesia ",ILA
"Iloilo, Philippines - Mandurriao ",ILO
"Ilu, Indonesia ",IUL
"Ilulissat, Greenland ",JAV
"Imperatriz, Brazil ",IMP
"Imperial, CA ",IPL
"Imphal, India ",IMF
"In Amenas, Algeria ",IAM
"Inagua, Bahamas ",IGA
"Inanwatan, Indonesia ",INX
"Indagen, Papua New Guinea ",IDN
"Indianapolis, IN ",IND
"Indore, India ",IDR
"Ingersoll, ON - Rail service ",XIB
"Innsbruck, Austria ",INN
"Inta, Russia ",INA
"International Falls, MN ",INL
"Inukjuak, QC ",YPH
"Inuvik, NT ",YEV
"Invercargill, New Zealand ",IVC
"Inverell, Australia ",IVR
"Inverness, United Kingdom ",INV
"Inyokern, CA ",IYK
"Ioannina, Greece ",IOA
"Ioma, Papua New Guinea ",IOP
"Ipatinga, Brazil ",IPN
"Ipiales, Colombia ",IPI
"Ipil, Philippines ",IPE
"Ipoh, Malaysia ",IPH
"Ipota, Vanuatu ",IPA
"Iqaluit, NU ",YFB
"Iquique, Chile ",IQQ
"Iquitos, Peru ",IQT
"Irkutsk, Russia ",IKT
"Iron Mountain, MI ",IMT
"Ironwood, MI ",IWD
"Isafjordur, Iceland ",IFJ
"Isfahan, Iran ",IFN
"Ishigakij, Japan ",ISG
"Islamabad, Pakistan ",ISB
Island Lake/Garden Hill ,YIV
"Island Lake/Garden Hill, Canada ",YIV
"Islay, United Kingdom ",ILY
"Isle of Man, United Kingdom ",IOM
"Isles of Scilly, United Kingdom - St Marys ",ISC
"Isles of Scilly, United Kingdom - Tresco ",TSO
"Islip, NY ",ISP
"Istanbul, Turkey ",IST
"Itaituba, Brazil ",ITB
"Ithaca, NY ",ITH
"Itokama, Papua New Guinea ",ITK
"Ivalo, Finland ",IVL
"Ivano-Frankovsk, Ukraine ",IFO
"Ivujivik, QC ",YIK
"Iwami, Japan ",IWJ
"Ixtapa, Mexico ",ZIH
"Ixtepec, Mexico ",IZT
"Izmir, Turkey ",ADB
"Izumo, Japan ",IZO
"Jabor, Marshall Islands ",JAT
"Jacareacanga, Brazil ",JCR
"Jackson Hole, WY ",JAC
"Jackson, MS ",JAN
"Jackson, TN ",MKL
"Jacksonville, FL ",JAX
"Jacksonville, NC ",OAJ
"Jacobabad, Pakistan ",JAG
"Jacquinot Bay, Papua New Guinea ",JAQ
"Jaipur, India ",JAI
"Jakarta, Indonesia ",CGK
"Jalapa, Mexico ",JAL
"Jaluit Island, Marshall Islands ",UIT
Jambi. Indonesia ,DJB
"Jamestown, ND ",JMS
"Jamestown, NY ",JHW
"Jamnagar, India ",JGA
"Janakpur, Nepal ",JKR
"Janesville, WI ",JVL
"Jaque, Panama ",JQE
"Jasper, AB - Rail service ",XDH
"Jayapura, Indonesia ",DJJ
"Jeddah, Saudi Arabia ",JED
"Jeh, Marshall Islands ",JEJ
"Jeju, South Korea - Jeju Airport, metro area ",CJU
"Jerez De La Frontere, Spain ",XRY
"Jersey, United Kingdom ",JER
"Jessore, Bangladesh ",JSR
"Jiamusi, China ",JMU
"Jiayuguan, China ",JGN
"Jijel, Algeria ",GJL
"Jijiga, Ethiopia ",JIJ
"Jimma, Ethiopia ",JIM
"Jinan, China ",TNA
"Jingdezhen, China ",JDZ
"Jinghong, China ",JHG
"Jinja, Uganda ",JIN
"Jinjiang, China ",JJN
"Jinju, South Korea - Sancheon ",HIN
"Jinka, Ethiopia ",BCO
"Jinzhou, China ",JNZ
"Ji-Parana, Brazil ",JPR
"Jiwani, Pakistan ",JIW
"Joao Pessoa, Brazil ",JPA
"Jodhpur, India ",JDH
"Joensuu, Finland ",JOE
"Johannesburg, South Africa ",JNB
"Johnson City, NY ",BGM
"Johnson City, TN ",TRI
"Johnston Island, US Minor Outlying Islands ",JON
"Johnstown, PA ",JST
"Johor, Malaysia ",JHB
"Joinville, Brazil ",JOI
"Joliette, QC - Rail service ",XJL
"Jommu, India ",IXJ
"Jomsom, Nepal ",JMO
"Jonesboro, AR ",JBR
"Jonkoping, Sweden ",JKG
"Jonquiere, QC - Rail service ",XJQ
"Joplin, MO ",JLN
"Jorhat, India ",JRH
"Jose De San Martin, Argentina ",JSM
"Jouf, Saudi Arabia ",AJF
"Juazeiro Do Norte, Brazil ",JDO
"Juist, Germany ",JUI
"Juiz De Fora, Brazil ",JDF
"Jujuy, Argentina ",JUJ
"Julia Creek, Australia ",JCK
"Juliaca, Peru ",JUL
"Juneau, AK ",JNU
"Juzha, China ",JUZ
"Jyvaskyla, Finland ",JYV
"Kaadedhdhoo, Maldives ",KDM
"Kaben, Marshall Islands ",KBT
"Kabri Dar, Ethiopia ",ABK
"Kabul, Afghanistan ",KBL
"Kabwun, Papua New Guinea ",KBM
"Kadanwari, Pakistan ",KCF
"Kadhonoo, Maldives ",KDO
"Kahramanmaras, Turkey ",KCM
"Kahului, HI - Island of Maui, ",OGG
"Kaintiba, Papua New Guinea ",KZF
"Kaitaia, New Zealand ",KAT
"Kajaani, Finland ",KAJ
"Kake, AK ",KAE
"Kakhonak, AK ",KNK
"Kalamazoo, MI ",AZO
"Kalaupapa, HI - Island of Molokai, ",LUP
"Kalbarri, Australia ",KAX
"Kaliningrad, Russia ",KGD
"Kalskag, AK ",KLG
"Kaltag, AK ",KAL
"Kambuaya, Indonesia ",KBX
"Kameshli, Syrian Arab Republic ",KAC
"Kamloops, BC ",YKA
"Kamuela, HI - Island of Hawaii, ",MUE
"Kamur, Indonesia ",KCD
"Kamusi, Papua New Guinea ",KUY
"Kangiqsualujjuaq, QC ",XGR
"Kangiqsujuaq, QC ",YWB
"Kangirsuk, QC ",YKG
"Kano, Nigeria ",KAN
"Kansas City, MO ",MCI
"Kapalua, HI - Island of Maui, ",JHM
"Kapuskasing, ON ",YYU
"Karachi, Pakistan - Quaid-E-Azam International ",KHI
"Kardia, Estonia ",KDL
"Kariba, Zimbabwe ",KAB
"Karlsruhe/Badern Baden, Germany ",FKB
"Karpathos, Greece ",AOK
"Karubaga, Indonesia ",KBF
"Kasaan, AK ",KXA
"Kasaba Bay, Zambia ",ZKB
"Kasabonika, ON ",XKS
"Kasama, Zambia ",KAA
"Kasane, Botswana ",BBK
"Kaschechewan, ON ",ZKE
"Kasigluk, AK ",KUK
"Katherine, NT, Australia ",KTR
"Kathmandu, Nepal ",KTM
"Katowice, Poland ",KTW
"Kauai Island/Lihue, HI ",LIH
"Kaunas, Lithuania ",KUN
"Kavala, Greece ",KVA
"Kavieng, Papua New Guinea ",KVG
"Kawthaung, Myanmar ",KAW
"Kayseri, Turkey ",ASR
"Kazan,, Russia ",KZN
"Kearney, NE ",EAR
"Keene, NH ",EEN
"Keewaywin, ON ",KEW
"Kefallinia, Greece ",EFL
"Kegaska, QC ",ZKG
"Kelowna, BC ",YLW
"Kenai, AK ",ENA
"Kendari, Indonesia ",KDI
"Kenora, ON ",YQK
"Kerkyra, Greece ",CFU
"Ketchikan, AK ",KTN
"Key West, FL ",EYW
"Keystone, CO - Van service ",QKS
"Khajuraho, India ",HJR
"Kharga, Egypt ",UVL
"Kharkov, Ukraine ",HRK
"Khudzhand, Tajikistan ",LBD
"Khuzdar, Pakistan ",KDD
"Kiana, AK ",IAN
"Kiev, Ukraine - Borispol ",KBP
"Kiev, Ukraine - Zhulhany ",IEV
"Kigali, Rwanda ",KGL
"Kigoma, Tanzania ",TKQ
"Kilgore/Gladewater, TX ",GGG
"Kilimanjaro, Tanzania ",JRO
"Killeen, TX ",ILE
Kimmirut/Lake Harbour NU ,YLC
"Kimmirut/Lake Harbour, Canada ",YLC
"King Cove, AK ",KVC
"King Salmon, AK ",AKN
"Kingfisher Lake, ON ",KIF
"Kingman, AZ ",IGM
"Kingsport, TN ",TRI
"Kingston, Jamaica - Norman Manley ",KIN
"Kingston, Jamaica - Tinson ",KTP
"Kingston, ON - Norman Rogers Airport ",YGK
"Kingston, ON - Rail service ",XEG
"Kinshasa, Congo ",FIH
"Kipnuk, AK ",KPN
"Kirakira, Solomon Islands ",IRA
"Kirksville, MO ",IRK
"Kitadaito, Japan ",KTD
"Kitchener, ON ",YKF
"Kittila, Finland ",KTT
"Kiunga, Papua New Guinea ",UNG
"Kivalina, AK ",KVL
"Kiwayu, Kenya ",KWY
"Klamath Falls, OR ",LMT
"Klawock, AK ",KLW
"Klemtu, BC ",YKT
"Knock, Ireland ",NOC
"Knoxville, TN ",TYS
"Kobuk, AK ",OBU
"Kochi, Japan ",KCZ
"Kodiak, AK ",ADQ
"Koh Samui, Thailand ",USM
"Kolkata, India ",CCU
"Kolobrzeg, Poland ",QJY
"Komsomolsk Na Amure, Russia ",KXK
"Kona, HI - Island of Hawaii ",KOA
"Kongiganak, AK ",KKH
"Konya, Turkey ",KYA
"Koror, Palau ",ROR
